taxon_name_Stace,kew_id,C_num,S_num,R_num,predicted_CSR
Danthonia decumbens,397531-1,11.74,66.11,22.15,S/SR
Daphne laureola,831270-1,31.87,36.04,32.09,CSR
Daphne mezereum,831294-1,18.13,32.56,49.31,R/CSR
Dasiphora fruticosa,724590-1,5.87,92.94,1.19,S
Datura stramonium,314738-2,74.23,0,25.77,C/CR
Daucus carota,841063-1,33.35,42.65,24,CS/CSR
Deschampsia cespitosa,397953-1,15.18,65.27,19.56,S/SR
Descurainia sophia,78248-2,24.4,28.9,46.7,R/CSR
Dianthus armeria,310755-2,6.8,56.84,36.36,SR
Dianthus barbatus,306674-2,35.81,32.94,31.24,CSR
Dianthus deltoides,302054-2,2.21,59.17,38.62,SR
Dianthus gratianopolitanus,153408-1,6.66,56.99,36.35,SR
Diapensia lapponica,316120-1,0,100,0,S
Digitalis lutea,802039-1,54.54,7.14,38.31,CR
Digitalis purpurea,802077-1,69.57,14.08,16.35,C/CR
Digitaria ischaemum,398891-1,8.37,10.23,81.4,R
Digitaria sanguinalis,399115-1,16.8,6.12,77.08,R/CR
Diphasiastrum alpinum,81292-2,6.89,93.11,0,S
Diplotaxis muralis,96869-3,37.98,0,62.02,CR
Diplotaxis tenuifolia,1028648-2,53.82,0,46.18,CR
Dipsacus fullonum,319260-1,81.63,1.59,16.78,C/CR
Dipsacus pilosus,319286-1,54.35,0,45.65,CR
Dipsacus strigosus,319300-1,70.55,18.31,11.14,C/CS
Dittrichia viscosa,201893-1,32.45,32.84,34.7,CSR
Doronicum pardalianches,329170-2,64.5,0,35.5,C/CR
Draba aizoides,282317-1,0,66.08,33.92,S/SR
Drosera anglica,321780-1,7.62,0,92.38,R
Drosera intermedia,84157-2,0,12.47,87.53,R
Drosera rotundifolia,319182-2,4.99,0,95.01,R
Dryas octopetala,724675-1,10.28,72.98,16.74,S/SR
Dryopteris affinis,17556900-1,77.36,10.28,12.36,C/CR
Dryopteris carthusiana,17390210-1,57.59,17.94,24.48,C/CSR
Dryopteris dilatata,30117034-2,72.58,16.28,11.13,C/CS
Dryopteris expansa,84669-2,71.87,13.42,14.7,C/CR
Dryopteris filix-mas,30345915-2,70.92,15.33,13.75,C/CS
Dysphania ambrosioides,1198060-2,37.47,1.82,60.7,CR
Echinochloa crus-galli,399660-1,30.26,24.45,45.3,R/CSR
Echinops exaltatus,202484-1,54.74,33.15,12.11,C/CSR
Echium vulgare,115950-1,72.85,2.06,25.09,C/CR
